ChannelID,Title,ViewCount,SubscriberCount,VideoCount
UCtljsIli2qhJlyZ2G8jxK7Q,comong,66995,33,53
UC-kGEtRwsPjCGByUKjz3zIQ,COMPLEX NETWORK OF UNIVERSE,144772,219,769
UCiEghikO7LHciHbVMy-3MOg,convenience_Korean_food,109,2,10
UCMNor7JAAvRi9N19Ro2e0dA,Cooking life,394,0,23
UCERJ9uvPR3MqZBpTCxLsKBw,COSMO GALLERY,328793,317,333
UCK6AuJKXmqTOwafyZea3nWQ,CuteKimYul 큐트김율,77169,99,125
UCQK1slikA-mhWdp_TYFeNiw,Daisy travelling ,9782,65,62
UC9xnOGdAJAax35SUkYsxxgA,Daldi달디 ASMR,403688,2870,53
UC8D6MfrLBuC5eXx-Z-RtYdw,dani,28525,62,68
UCMSf8XVdOqWL5-x2kLGVCaA,Dar gai 256,22701,24,106
UCnkZu7Io4SZ6_AkKG0U7H9g,David Oo,2561,30,26
UCmR9T0P5F_coacaWMM6reYw,DJ Tiz,116347,436,162
UCH1XLhQUkcvRDn9XEjxBetA,Do-It-Like-Korean,4241,14,19
UCyjSesZPC4AzCI5QYt7jG6g,Dung’s chuuu,685,3,3
UCr_SmGjRbKH5bckmj7UGPzw,duree la,14253913,26200,1675
UC4t1Z-TPMotUeeQCk-rhJLw,e hyun 이현,1518536,10800,181
UCYyISq1Fxh5K774bcZnIruA,easy한 한끼,33621,29,23
UCvlyhqDuyhGuYOlGxfr8Dug,Eat_Nham,13784,37,44
UCA5tX2Cy-hJkFzezPQrU0yQ,EATSENSE,289121,352,436
UCgJqccagfL1maJ_gpaHFTBQ,Edge Foodie,19,0,3
UCh7kPnFSWxG4LyHHx0dHfVQ,Ella_Christine,18979,79,80
UC4wAF089PFxf6SV4eczACzQ,e우주,218525,103,150
UCjK6O2LrsctJXPNyqad4HPw,Findoutdessert,406648,774,209
UC7r48hpzrKgeS0QHaDX376A,Flat White,2171,2,6
UCbDssdgcLI8CxFbzohyU4hQ,FOOD KF,9633275,4120,951
UChQhoCbFXiJTyJaqgETf5bw,Food Travel,71049,102,35
UC1WjeZbba3bOYid82-T6SJQ,food way푸드웨이,79739,134,194
UCl5yxKSYCtfHsYbqTv_PNUQ,foodfoot,97891,50,67
UCzJbEOFGJr9D4a0_Kh9GUQQ,foodhere2023,70041,45,72
UCi0u0AikMkGct04L1pRdcuA,G,3526,22,61
UCn4S7Zljck_GBhkXyMsaM-w,Geon’s Story,107262,131,218
UC3yuODJd_z9UejEldeRsmhg,ggg3,24139,6,11
UCN5YRJLWJUMH74gt8UY-rlA,GLN 지구생활자,201415,459,118
UCXQlOz4WnuKUuGEwM6I10EQ,Global SH,3089532,3850,241
UCNwQE3WYER10JWITbOHDWzw,Go! Driving,543681,478,1994
UCgqmlP0mO8Xgkx9DVyhiTnw,god,9035473,45100,101
UCP0Vo69aSUlhqLKBr6HH-aA,Gogo@Korea,317548,668,651
UCuLG2GrI0Cf07yywsWJm2oA,goodlucka,8606,32,67
UCyR3vNM4Ig39DZ3vFzlbo7g,goodmanyour 일상생활,469597,396,747
UCLzdSJwHuDrHcke4laSw9uw,GOreview,506202,1390,356
UC10WaAWgrulknNClRke7viQ,GOTV -  고티비,4202168,1180,71
UCyQspNCUdJHGnMaKlb_tQqw,gs25,219,4,6
UCl0HemfAt7dShJRf59_cuGQ,GS25 l 이리오너라,182697468,1080000,2354
UCfWzBed0Lf5CLeSu2BoDAxQ,GS25 편의점택배,13535410,55500,505
UCbUAPB-EhI5yUW--JOs4glw,gs25.별봄,36172,102,135
UChD4kH8BcI49njXGL5-makg,GS리테일 뉴스룸,350529,2030,117
